Industry,Job Title,Skills,Career Path
Information Technology,Project Manager,"Planning, Budgeting, Leadership","Project Assistant > Junior PM > Project Manager > Senior PM > Program Manager"
Information Technology,Game Developer,"Unity, C#, Unreal Engine","Intern > Junior Game Developer > Game Developer > Senior Game Developer > Game Lead"
Information Technology,Game Designer,"Level Design, UX, Scripting","Intern > Junior Game Designer > Game Designer > Senior Designer > Creative Director"
Information Technology,Database Administrator,"SQL Server, MySQL, Oracle, Backup","Intern > Junior DBA > DBA > Senior DBA > Database Architect"
Information Technology,Big Data Engineer,"Spark, Hadoop, Kafka, Python","Intern > Junior Big Data Engineer > Big Data Engineer > Senior Big Data > Big Data Architect"
Information Technology,ETL Developer,"Informatica, SSIS, SQL, Data Pipeline","Intern > Junior ETL Developer > ETL Developer > Senior ETL > Data Integration Lead"
Information Technology,BI Developer,"Power BI, DAX, SQL, Data Modeling","Intern > Junior BI Developer > BI Developer > Senior BI Developer > BI Architect"
Information Technology,RPA Developer,"UiPath, Automation, Python","Intern > Junior RPA Developer > RPA Developer > Senior RPA Developer > RPA Architect"
Information Technology,Blockchain Developer,"Solidity, Web3, Smart Contracts","Intern > Junior Blockchain Dev > Blockchain Developer > Senior Blockchain > Blockchain Architect"
Information Technology,IoT Engineer,"C, MQTT, Microcontrollers, Sensors","Intern > Junior IoT Engineer > IoT Engineer > Senior IoT > IoT Architect"
Information Technology,Embedded Engineer,"C/C++, RTOS, Hardware Debug","Intern > Junior Embedded Engineer > Embedded Engineer > Senior Embedded Engineer > Embedded Lead"
Information Technology,AR/VR Developer,"Unity, C#, 3D Modeling","Intern > Junior AR/VR Dev > AR/VR Developer > Senior AR/VR > XR Lead"
Information Technology,Robotics Engineer,"ROS, C++, Control Systems","Intern > Junior Robotics Engineer > Robotics Engineer > Senior Robotics > Robotics Lead"
Information Technology,Site Reliability Engineer,"Monitoring, Linux, Automation","Intern > Junior SRE > SRE > Senior SRE > SRE Architect"
Information Technology,Software Architect,"System Design, Microservices, Cloud","Senior Engineer > Tech Lead > Architect > Senior Architect > Chief Architect"
Information Technology,API Developer,"REST, GraphQL, Postman, NodeJS","Intern > Junior API Developer > API Developer > Senior API Developer > API Architect"
Information Technology,Integration Engineer,"API Integration, ESB, SOAP","Intern > Junior Integration Engineer > Integration Engineer > Senior Integration Engineer > Integration Architect"
Information Technology,CRM Developer,"Salesforce, Apex, Flows","Intern > Junior CRM Developer > CRM Developer > Senior CRM Developer > CRM Architect"
Information Technology,ERP Consultant,"SAP, Oracle, Business Processes","Intern > Junior ERP Consultant > ERP Consultant > Senior ERP > ERP Manager"
Information Technology,Software Tester,"Manual Test, Test Cases, JIRA","Intern > Junior Tester > Tester > Senior Tester > Test Lead"
Information Technology,IT Business Analyst,"UML, SQL, Requirement Analysis","BA Assistant > Junior BA > Business Analyst > Senior BA > BA Lead"
Information Technology,Product Designer,"UX/UI, Figma, Prototyping","Intern > Junior PD > Product Designer > Senior PD > Product Design Lead"
Information Technology,UX Researcher,"Interview, Wireframe, Usability Testing","Intern > Junior UX Researcher > UX Researcher > Senior Researcher > UX Lead"
Information Technology,Technical Writer,"Documentation, API Writing, Research","Intern > Junior Writer > Technical Writer > Senior Writer > Documentation Manager"
Information Technology,SEO Specialist,"SEO, Analytics, Content Optimization","Intern > Junior SEO > SEO Specialist > Senior SEO > SEO Lead"
Information Technology,IT Auditor,"Risk Assessment, Compliance, Security","Intern > Junior IT Auditor > IT Auditor > Senior Auditor > Audit Manager"
Information Technology,IT Trainer,"Training, Documentation, Presentation","Intern > Assistant Trainer > IT Trainer > Senior Trainer > Training Manager"
Information Technology,Software Analyst,"Modeling, Requirement, SQL","Intern > Junior Analyst > Software Analyst > Senior Analyst > Analysis Lead"
Information Technology,Cloud Security Engineer,"AWS Security, IAM, Firewalls","Intern > Junior Cloud Sec Engineer > Cloud Security Engineer > Senior Cloud Security > Cloud Security Architect"
Information Technology,Analytics Engineer,"Data Modeling, dbt, SQL","Intern > Junior Analytics Engineer > Analytics Engineer > Senior Analytics Engineer > Analytics Architect"
Information Technology,NLP Engineer,"Python, NLP, Transformers","Intern > Junior NLP Engineer > NLP Engineer > Senior NLP Engineer > NLP Lead"
Information Technology,Computer Vision Engineer,"OpenCV, Deep Learning, Python","Intern > Junior CV Engineer > CV Engineer > Senior CV Engineer > CV Lead"
Information Technology,MLOps Engineer,"CI/CD, ML Pipeline, Docker, Kubernetes","Intern > Junior MLOps > MLOps Engineer > Senior MLOps > MLOps Architect"
Information Technology,Platform Engineer,"Cloud, CI/CD, Infrastructure","Intern > Junior Platform Engineer > Platform Engineer > Senior Platform Engineer > Platform Architect"
Information Technology,API Tester,"Postman, Swagger, Automation","Intern > Junior API Tester > API Tester > Senior API Tester > QA Lead"
Information Technology,Software Support Engineer,"Troubleshooting, SQL, Debugging","Intern > Junior Support Eng > Support Engineer > Senior Support Engineer > Support Lead"
Information Technology,AI Product Manager,"AI Concepts, Product, ML Knowledge","Associate PM > Junior PM > PM > Senior PM > Head of AI Product"
Information Technology,Web Developer,"HTML, CSS, PHP, MySQL","Intern > Junior Web Developer > Web Developer > Senior Web Developer > Web Lead"
Information Technology,PHP Developer,"Laravel, PHP, MySQL","Intern > Junior PHP Developer > PHP Developer > Senior PHP Developer > PHP Lead"
Information Technology,Ruby Developer,"Ruby on Rails, PostgreSQL","Intern > Junior Ruby Developer > Ruby Developer > Senior Ruby Developer > Ruby Lead"
Information Technology,Go Developer,"GoLang, Microservices, Docker","Intern > Junior Go Dev > Go Developer > Senior Go Dev > Go Tech Lead"
Information Technology,Rust Developer,"Rust, Memory Safety, Systems","Intern > Junior Rust Dev > Rust Developer > Senior Rust Dev > Systems Architect"
Information Technology,C++ Developer,"C++, Algorithms, Multithreading","Intern > Junior C++ Developer > C++ Developer > Senior C++ Dev > C++ Architect"
Information Technology,Python Developer,"Django, Flask, AsyncIO","Intern > Junior Python Dev > Python Developer > Senior Python Dev > Python Lead"
Information Technology,Java Developer,"Spring, Microservices, Hibernate","Intern > Junior Java Dev > Java Developer > Senior Java Dev > Java Lead"
Information Technology,.NET Developer,"C#, ASP.NET, Entity Framework","Intern > Junior .NET Dev > .NET Developer > Senior .NET Dev > .NET Lead"
Information Technology,Scala Developer,"Scala, Spark, FP","Intern > Junior Scala Dev > Scala Developer > Senior Scala Dev > Data Engineer Lead"
Information Technology,Testing Coordinator,"Test Planning, QA Management","QA Intern > QA Executive > Test Coordinator > QA Supervisor > QA Manager"
Information Technology,API Integration Tester,"API Testing, JSON, XML","Intern > Junior Tester > API Tester > Senior API Tester > Test Lead"
Information Technology,IoT Software Developer,"Python, MQTT, Cloud IoT","Intern > Junior IoT Dev > IoT Developer > Senior IoT Dev > IoT Lead"
Information Technology,Machine Learning Ops Analyst,"Pipeline Monitoring, Data Ops","Intern > Junior Ops Analyst > MLOps Analyst > Senior Analyst > Ops Lead"
Information Technology,Backend NodeJS Developer,"NodeJS, Express, MongoDB","Intern > Junior NodeJS Developer > NodeJS Developer > Senior NodeJS Dev > Backend Lead"
Information Technology,Frontend Angular Developer,"Angular, TypeScript, RXJS","Intern > Junior Angular Dev > Angular Developer > Senior Angular Dev > Frontend Lead"
Information Technology,React Native Developer,"React Native, JavaScript, Mobile","Intern > Junior RN Dev > React Native Developer > Senior RN Dev > Mobile Lead"
Information Technology,Cloud DevOps Engineer,"AWS, CI/CD, Terraform","Intern > Junior Cloud DevOps > Cloud DevOps > Senior Cloud DevOps > Cloud Architect"
Information Technology,Cloud Data Engineer,"BigQuery, Dataflow, SQL","Intern > Junior Data Engineer > Cloud Data Engineer > Senior Data Engineer > Data Architect"
Information Technology,Game Backend Engineer,"C#, NodeJS, Realtime Systems","Intern > Junior Game Backend > Game Backend Engineer > Senior Backend > Game Tech Lead"
Information Technology,Sitecore Developer,"Sitecore, .NET, CMS","Intern > Junior Sitecore Dev > Sitecore Developer > Senior Sitecore > CMS Architect"
Information Technology,Magento Developer,"Magento, PHP, MySQL","Intern > Junior Magento Dev > Magento Developer > Senior Magento Dev > E-commerce Lead"
Information Technology,Shopify Developer,"Liquid, JavaScript, Shopify APIs","Intern > Junior Shopify Dev > Shopify Developer > Senior Shopify > E-commerce Architect"
Information Technology,AI Researcher,"Deep Learning, Algorithms, Python","Research Intern > Junior Researcher > AI Researcher > Senior AI Researcher > Research Lead"
Information Technology,Infrastructure Engineer,"Servers, Networking, VMware","Intern > Junior Infra Engineer > Infra Engineer > Senior Infra Engineer > Infra Architect"
Information Technology,SRE Analyst,"Monitoring, Incident Response","Intern > Junior Analyst > SRE Analyst > Senior SRE Analyst > SRE Lead"
Information Technology,Technical Support Engineer,"Ticketing, Troubleshooting, Networking","Support Intern > T1 Support > T2 Support > Senior Support > Support Manager"
Information Technology,Helpdesk Technician,"IT Support, Customer Service","Intern > Helpdesk > Senior Helpdesk > Supervisor > IT Manager"
Information Technology,Software Maintenance Engineer,"Bug Fixing, Refactoring, SQL","Intern > Junior Maintenance > Maintenance Engineer > Senior Engineer > Maintenance Lead"
Information Technology,CAD Software Developer,"C++, CAD, Geometry Engines","Intern > Junior CAD Dev > CAD Developer > Senior CAD Dev > CAD Architect"
Information Technology,AI Quality Engineer,"AI Testing, Data Validation","Intern > Junior AI QA > AI QA Engineer > Senior AI QA > QA Lead"
Information Technology,Cloud Migration Engineer,"AWS, Azure, Kubernetes","Intern > Junior Migration Eng > Migration Engineer > Senior Migration > Cloud Lead"
Information Technology,Prompt Engineer,"LLM Skills, NLP, Python","Intern > Junior Prompt Engineer > Prompt Engineer > Senior Prompt Engineer > AI Interaction Lead"
